appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
726110,Overcrowd: A Commute 'Em Up,SquarePlay Games,Survival,$882.2k ($561.8k - $1.2m),$882.1k,802.0,81.32,35000.0,0.4234563752686547
314970,Age of Conquest IV,Noble Master LLC,Survival,$8.2k ($5.5k - $10.8k),$17.6k,954.0,72.0,750000.0,0.4033923444985355
513720,Archipelago,Conglomerate 5,Survival,$2.8k ($1.9k - $3.8k),$2.5m,3419.0,65.25,35000.0,0.3730615941176309
2846060,Subterror,Team Monumental,Survival,$88.5k ($54.6k - $122.5k),$104.2k,498.0,81.666,35000.0,0.3664795045573503
2902540,KUNKUN Defender,Seal,Survival,$47.8k ($30.1k - $65.5k),$112.8k,464.0,97.13,10000.0,0.3430949756593555
586790,Hold your houses,Conglomerate 5,Survival,$2.9k ($583 - $5.2k),$2.5m,2979.0,35.05500000000001,35000.0,0.3390433162297778
3123830,Dread Tomb,Gamirror Games,Survival,$26.9k ($15.5k - $38.3k),$118.8m,546.0,46.152,10000.0,0.318485210215451
564210,Fishermurs,Valkyrie Initiative,Survival,$2.7k ($1.4k - $4k),$2.8m,1571.0,60.003,10000.0,0.3155983835410264
266430,Anarchy Arcade,Elijah Newman-Gomez,Survival,0,$0 ,515.0,60.003,750000.0,0.2932016893509464
388550,Galactic Missile Defense,Black Sheep Games,Survival,$1.3k ($693 - $2k),$1.3k,507.0,56.664,75000.0,0.2789251457610288
1402020,SCP: Labrat,Bezbro Games,Survival,0,$7.9k,544.0,0.0,750000.0,0.2740466434463577
555920,Dark Egypt,GDNomaD,Survival,$2.7k ($552 - $4.9k),$95k,1287.0,29.997,10000.0,0.2648611800940821
2061440,Oxygen: First Breath,GrabTheGames,Survival,0,$13.7m,746.0,0.0,150000.0,0.2575100004418342
319760,Oh My Gore!,Daedalic Entertainment,Tower Defense,$22.5k ($12.5k - $32.6k),$159.9m,833.0,78.993,75000.0,0.4083041971046193
537200,Defense Of Greece TD,First Games Interactive,Tower Defense,$9.1k ($1.8k - $16.5k),$53.9k,2981.0,70.713,150000.0,0.4076120867949024
371460,Gnumz: Masters of Defense,8Floor,Tower Defense,$7.5k ($4k - $11k),$3.8m,2056.0,64.40400000000001,150000.0,0.4051995373881125
3133060,Gnomes,DYSTOPIAN,Tower Defense,$392.3k ($270.8k - $513.9k),$392.3k,435.0,95.55,35000.0,0.4035422979868858
423550,Day D: Tower Rush,8Floor,Tower Defense,$7.3k ($4.4k - $10.3k),$3.8m,1614.0,67.95,150000.0,0.4008653727525978
937310,Infinitode 2 - Infinite Tower Defense,Prineside,Tower Defense,$12.5k ($7.2k - $17.8k),$12.5k,2184.0,89.53,75000.0,0.3996556328442324
215710, Fieldrunners 2,Subatomic Studios LLC,Tower Defense,$111.8k ($72k - $151.5k),$196.7k,646.0,80.85600000000001,75000.0,0.3969177238063811
345330,Eden Rising,The Wall Productions Inc.,Tower Defense,$12.1k ($7.1k - $17.1k),$12.1k,1372.0,66.465,350000.0,0.3960617273286395
878380,Touhou Big Big Battle,MyACG Studio,Tower Defense,$34.1k ($18.5k - $49.8k),$2.8m,787.0,75.63,75000.0,0.3918970496319438
618610,Endless Horde,Ominous Entertainment,Tower Defense,$10.6k ($5.7k - $15.5k),$27.3k,1609.0,58.365,150000.0,0.3754456627234443
450850,Cube Land Arena,SC Jogos,Tower Defense,$4.5k ($2.4k - $6.6k),$762.8k,1634.0,59.535,75000.0,0.3633652121994066
2427570,Block Tower TD,MyDreamForever,Tower Defense,$8.5k ($4.7k - $12.4k),$120.7k,631.0,72.0,150000.0,0.3632954363839486
