appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
225420,Cities in Motion 2,Paradox Interactive,City Builder,$2.5m ($508.3k - $4.5m),$1.1b,1736.0,61.06,750000.0,6.586235037932785
2228280,MEMORIAPOLIS,5PM Studio,City Builder,$2m ($1.4m - $2.6m),$2.1m,1657.0,76.97,75000.0,8.094119172945073
2020710,Havendock,Pretty Soon,City Builder,$1.2m ($817.4k - $1.7m),$10.1m,1675.0,83.66,75000.0,8.762752787974607
894940,Littlewood,SmashGames,City Builder,$2.5m ($1.8m - $3.1m),$12.4m,1644.0,93.22,350000.0,9.764254618555404
1547890,Let's Build a Zoo,No More Robots,City Builder,$3.9m ($1.9m - $6m),$24.5m,1619.0,89.09,350000.0,9.360162919974728
231140,Cities XL Platinum,Focus Entertainment,City Builder,$1.1m ($237.8k - $2m),$728.4m,1638.0,58.06,350000.0,6.253649086141536
2290000,TerraScape,Stray Fawn Publishing,City Builder,$1.7m ($1m - $2.3m),$20.1m,1587.0,89.55,350000.0,9.392622964611233
2013240,Immortal Family,方块游戏(CubeGame),City Builder,$322k ($205.6k - $438.4k),$15.5m,1587.0,54.19,75000.0,5.796787346859895
1538570,Patron,Overseer Games,City Builder,$2.9m ($1.4m - $4.3m),$4.5m,1593.0,73.25,150000.0,7.745103487255687
39680,The Guild II Renaissance,THQ Nordic,City Builder,$912.5k ($531k - $1.2m),$387.4m,1244.0,81.73,750000.0,8.623792280764768
2834600,My Little Life,9FingerGames,City Builder,$317.5k ($204.6k - $430.4k),$377.3k,1521.0,89.87,35000.0,9.330270568596825
2400770,Dungeon Tycoon,Goblinz Publishing,City Builder,$896.9k ($622.1k - $1.1m),$29.1m,1518.0,78.71,150000.0,8.280541257686096
1875060,Reus 2,Firesquid,City Builder,$2.1m ($1.3m - $2.8m),$2.9m,1215.0,95.14,75000.0,9.903605191528081
1291340,Townscaper,Raw Fury,City Builder,$5.6m ($3.3m - $8m),$99.5m,1162.0,95.8,1500000.0,10.064778406869662
1252780,Bloons Monkey City,Ninja Kiwi,City Builder,$216.7k ($136.7k - $296.6k),$64.7m,1166.0,90.0,350000.0,9.403134013132345
1281630,Anno 1404 - History Edition,Ubisoft,City Builder,$3.5m ($1.7m - $5.3m),$2.4b,1152.0,81.97,750000.0,8.67277282451602
1882500,Cattails: Wildwood Story,Falcon Development,City Builder,$473.3k ($307k - $639.6k),$1.2m,1142.0,97.53,75000.0,10.115242409057199
1024650,Port Royale 4,Kalypso Media,City Builder,$4.8m ($2.4m - $7.2m),$91.9m,1107.0,57.72,35000.0,6.168463189342981
1254320,Surviving the Abyss,Paradox Arc,City Builder,$1m ($703k - $1.3m),$14.6m,1069.0,65.44,150000.0,6.9413134222148445
1157220,Nebuchadnezzar,Astra Logical,City Builder,$1.1m ($743.3k - $1.5m),$2.5m,908.0,79.8,150000.0,8.366088684672684
521150,Another Brick in The Mall,The Quadsphere,City Builder,$1.5m ($1.1m - $2m),$1.5m,896.0,83.03,350000.0,8.70999117413484
2750080,The Settlers: New Allies,Ubisoft,City Builder,$641.8k ($395.9k - $887.7k),$2.4b,888.0,47.2,35000.0,5.094356337006278
1104330,Founders' Fortune,Dionic Software,City Builder,$1.4m ($936.8k - $2m),$3.7m,834.0,82.14,75000.0,8.587106907631203
1134710,NIMBY Rails,Weird and Wry,City Builder,$1.2m ($868.6k - $1.6m),$1.8m,824.0,89.48,150000.0,9.330942826405431
1743830,One Military Camp,Abylight Studios,City Builder,$1m ($691.1k - $1.4m),$2.3m,804.0,75.65,75000.0,7.930044430695474
2144640,Endzone 2,Assemble Entertainment,City Builder,$872k ($571.7k - $1.1m),$24.3m,803.0,68.03,35000.0,7.1590287552049645
1336180,Floodland,Ravenscourt,City Builder,$618.6k ($372.2k - $864.9k),$6.1m,789.0,55.22,75000.0,5.883655332797315
351860,Cultures - Northland,Daedalic Entertainment,City Builder,$16.6k ($8.9k - $24.2k),$159.9m,788.0,82.74,150000.0,8.612533511322546
2807150,Worshippers of Cthulhu,Crytivo,City Builder,$1.6m ($1m - $2.2m),$23.4m,773.0,82.41,150000.0,8.637134718624205
1074070,Dust to the End,2P Games,City Builder,$201.2k ($120.5k - $281.8k),$43.1m,752.0,79.4,150000.0,8.307748648273401
840390,Spacebase Startopia,Kalypso Media,City Builder,$289k ($204.3k - $373.7k),$91.9m,647.0,51.642,35000.0,5.5031846488336145
1489970,Highrise City,Deck13,City Builder,$1.1m ($703.3k - $1.6m),$19.7m,646.0,78.12,150000.0,8.196396361930828
789660,Buggos,Intrepid Marmot,City Builder,$430.2k ($260.8k - $599.7k),$684.9k,688.0,87.75,75000.0,9.117769851353216
1304430,Viking Frontiers,GameHunters,City Builder,$193.2k ($122.6k - $263.8k),$193.2k,625.0,49.113,35000.0,5.216955184153464
591370,Production Line : Car factory simulation,Positech Games,City Builder,$2m ($1.4m - $2.7m),$16.9m,631.0,81.29,350000.0,8.5396982565386
2012190,KAISERPUNK,Overseer Games,City Builder,$700.1k ($474.3k - $925.9k),$4.5m,632.0,71.64,35000.0,7.502204432142441
2103470,Republic of Pirates,PQube,City Builder,$522.2k ($332.6k - $711.7k),$20.1m,608.0,64.43100000000001,35000.0,6.782254092154952
2678990,Minami Lane,Doot Tiny Games,City Builder,$847.7k ($545.8k - $1.1m),$1m,587.0,97.59,350000.0,10.142871495938083
1864880,Roman Triumph: Survival City Builder,Forklift Interactive,City Builder,$572.4k ($377.8k - $766.9k),$7.4m,572.0,86.59,35000.0,8.993321157887703
1847240,Game Dev Story,"Kairosoft Co., Ltd",City Builder,$512.7k ($270.2k - $755.3k),$5.6m,571.0,90.84,150000.0,9.448091578992836
1730250,Pan'orama,Awaken Realms,City Builder,$656.2k ($424.4k - $887.9k),$26.9m,567.0,89.5,150000.0,9.324184097009057
2206350,Farm Manager World,Sim Farm S.A.,City Builder,$560.3k ($378.5k - $742.2k),$4.6m,563.0,64.107,10000.0,6.71410453220461
1515950,Capcom Arcade Stadium,"CAPCOM Co., Ltd.",Fighting,$2.3m ($1.2m - $3.4m),$1.8b,481088.0,73.863,1500000.0,8.05720936183201
1755910,Capcom Arcade 2nd Stadium,"CAPCOM Co., Ltd.",Fighting,$1.8m ($1m - $2.7m),$1.8b,458580.0,59.49,1500000.0,6.614860543335051
629760,MORDHAU,Triternion,Fighting,$73.2m ($51.1m - $95.2m),$73.2m,60204.0,80.57,3500000.0,8.719111287646367
1790600,DRAGON BALL: Sparking! ZERO,Bandai Namco Entertainment,Fighting,$89.5m ($64.3m - $114.7m),$1.7b,120000.0,88.76,3500000.0,9.575875383834854
1203220,NARAKA: BLADEPOINT,NetEase Games Global,Fighting,$379.2m ($262.3m - $496.1m),$379.2m,385770.0,72.68,15000000.0,8.051243622725995
678950,DRAGON BALL FighterZ,Bandai Namco Entertainment,Fighting,$54.6m ($39.2m - $69.9m),$1.7b,44234.0,90.91,3500000.0,9.752769484826898
1384160,GUILTY GEAR -STRIVE-,Arc System Works,Fighting,$46m ($30.3m - $61.7m),$87.6m,30939.0,88.8,1500000.0,9.496508159843003
1778820,TEKKEN 8,Bandai Namco Entertainment,Fighting,$64.3m ($45.5m - $83m),$1.7b,46139.0,55.7,1500000.0,6.216461370629362
208650,Batman: Arkham Knight,WB Games,Fighting,$46.3m ($32.8m - $59.9m),$198.6m,25623.0,92.28,3500000.0,9.861259875526368
1971870,Mortal Kombat 1,Warner Bros. Games,Fighting,$39m ($28.3m - $49.7m),$882.3m,26576.0,72.67,750000.0,7.8707541445981635
851850,DRAGON BALL Z: KAKAROT,Bandai Namco Entertainment Inc.,Fighting,$50m ($34.4m - $65.7m),$237.6m,25715.0,93.01,1500000.0,9.917264508748069
544750,SOULCALIBUR VI,BANDAI NAMCO Entertainment,Fighting,$12.5m ($6.9m - $18.1m),$478.1m,14486.0,82.76,1500000.0,8.857321899855803
473690,Absolver,Devolver Digital,Fighting,$9.8m ($5.3m - $14.3m),$501.4m,18921.0,73.93,750000.0,7.963724814021413
323470,DRAGON BALL XENOVERSE,BANDAI NAMCO Entertainment,Fighting,$23m ($17.5m - $28.6m),$478.1m,22782.0,89.77,1500000.0,9.581216019887096
775500,SCARLET NEXUS,BANDAI NAMCO Entertainment,Fighting,$22.1m ($14.5m - $29.7m),$478.1m,14479.0,81.52,1500000.0,8.741593034476521
454650,DRAGON BALL XENOVERSE 2,Bandai Namco Entertainment,Fighting,$30.9m ($23m - $38.9m),$1.7b,13570.0,90.23,1500000.0,9.62089145375174
1216060,DNF Duel,NEXON,Fighting,$3.9m ($2.5m - $5.4m),$184.6m,12324.0,64.07,350000.0,6.9296817599720155
844870,KurtzPel,KOG,Fighting,$3.5m ($2.5m - $4.4m),$41.9m,11878.0,48.951,7500000.0,5.477411022271035
1742020,Idol Showdown,holo Indie,Fighting,0,$1.3m,10655.0,0.0,10000.0,0.26471719418174494
242700,Injustice: Gods Among Us Ultimate Edition,Warner Bros. Interactive Entertainment,Fighting,$8.3m ($3.9m - $12.8m),$446.3m,10262.0,86.78,1500000.0,9.242393240144052
629730,Blade and Sorcery,WarpFrog,Fighting,$36.8m ($26.9m - $46.6m),$36.8m,10235.0,96.71,1500000.0,10.24627824292745
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,BANDAI NAMCO Entertainment,Fighting,$53.1m ($34.7m - $71.5m),$478.1m,8372.0,90.86,3500000.0,9.690361133443659
1206610,Rubber Bandits,Flashbulb,Fighting,$1.9m ($1.1m - $2.8m),$14.6m,8346.0,84.86,750000.0,8.992367093376348
1089090,ONE PIECE: PIRATE WARRIORS 4,BANDAI NAMCO Entertainment,Fighting,$20.1m ($12.3m - $27.8m),$478.1m,7222.0,91.84,1500000.0,9.75066566528032
1451190,Undisputed,Deep Silver,Fighting,$13.3m ($8.7m - $17.9m),$567.3m,6858.0,62.44,750000.0,6.788254619054139
200260,Batman: Arkham City - Game of the Year Edition,WB Games,Fighting,$10.5m ($6.6m - $14.3m),$198.6m,6822.0,95.88,3500000.0,10.158688022642561
