Selected_Genre,appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players
Casual,1916970,Tree Simulator 2023,"Action, Adventure, Casual, Indie, Simulation","1 Apr, 2022",False,"₩ 8,900",Revmatek,Remvatek,4.0,appdetails,115.0
Casual,319570,Heroes of SoulCraft - Arcade MOBA,"Action, Casual, Indie, RPG, Strategy",,,,MobileBits,MobileBits,2.0,steamspy,105.0
Casual,1213670,Solitaire Forever II,"Card & Board, Casual, Indie",,,,Solitaire Forever,Solitaire Forever,43.0,steamspy,100.0
City Builder,294100,RimWorld,"City Builder, Indie, RPG, Simulation, Strategy, Survival",,,,Ludeon Studios,Ludeon Studios,20877.0,steamspy,95851.0
City Builder,2456740,inZOI,"Casual, City Builder, Simulation",,,,inZOI Studio,"KRAFTON, Inc.",1187.0,steamspy,77325.0
City Builder,1466860,Age of Empires IV: Anniversary Edition,"Action, City Builder, Strategy",,,,"World's Edge, Relic Entertainment, Forgotten Empires, Climax Studios",Xbox Game Studios,8256.0,steamspy,73629.0
City Builder,368230,Kingdom: Classic,"Adventure, Casual, City Builder, Indie, RPG, Simulation, Strategy, Survival, Tower Defense",,,,"Noio, Licorice",Raw Fury,41.0,steamspy,63740.0
City Builder,1366540,Dyson Sphere Program,"Casual, City Builder, Indie, Simulation, Strategy",,,,Youthcat Studio,Gamirror Games,2601.0,steamspy,59339.0
City Builder,255710,Cities: Skylines,"Action, Casual, City Builder, Simulation, Strategy",,,,Colossal Order Ltd.,Paradox Interactive,6899.0,steamspy,57421.0
City Builder,323190,Frostpunk,"City Builder, Simulation, Strategy, Survival",,,,11 bit studios,11 bit studios,1737.0,steamspy,29195.0
City Builder,701160,Kingdom Two Crowns,"Adventure, City Builder, Simulation, Strategy, Survival, Tower Defense",,,,Stumpy,Raw Fury,893.0,steamspy,26314.0
City Builder,1066780,Transport Fever 2,"Casual, City Builder, Indie, Simulation, Strategy",,,,Urban Games,Good Shepherd Entertainment,1743.0,steamspy,23150.0
City Builder,875210,Kingdom Heroes 8,"Action, City Builder, RPG, Simulation, Strategy",,,,"USERJOY Technology Co., Ltd.","USERJOY Technology Co., Ltd., Phoenix Game",211.0,steamspy,21252.0
City Builder,690830,Foundation,"City Builder, Indie, Simulation, Strategy, Survival",,,,Polymorph Games,Polymorph Games,539.0,steamspy,18422.0
City Builder,1029780,Going Medieval,"City Builder, Indie, RPG, Simulation, Strategy, Survival",,,,Foxy Voxel,Mythwright,596.0,steamspy,14600.0
City Builder,2688950,Planet Coaster 2,"City Builder, Horror, Simulation, Strategy",,,,Frontier Developments,Frontier Developments,783.0,steamspy,13648.0
City Builder,245620,Tropico 5,"Adventure, City Builder, RPG, Simulation, Strategy",,,,Haemimont Games,Kalypso Media Digital,78.0,steamspy,13445.0
City Builder,768200,Smalland: Survive the Wilds,"Action, Adventure, City Builder, RPG, Survival",,,,Merge Games,Maximum Entertainment,166.0,steamspy,12685.0
City Builder,253900,Knights and Merchants,"Action, City Builder, Simulation, Strategy",,,,Topware Interactive,Topware Interactive,32.0,steamspy,7450.0
City Builder,1937500,Let's School,"City Builder, Indie, Simulation, Strategy",,,,Pathea Games,"Pathea Games, PM Studios, inc.",152.0,steamspy,7240.0
City Builder,2239150,Thronefall,"Action, City Builder, Indie, Strategy, Tower Defense",,,,GrizzlyGames,GrizzlyGames,194.0,steamspy,6723.0
City Builder,403190,Planetbase,"Adventure, City Builder, Indie, Simulation, Strategy, Survival",,,,Madruga Works,Madruga Works,214.0,steamspy,6667.0
