appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,Steam_User_Score_Percent,Total_Reviews_Count,Owners_SteamSpy
265300,Lords Of The Fallen 2014,CI Games,Action,$17.2m ($10.4m - $23.9m),$116.9m,8014.0,58.45,13003,500000 - 1000000
699130,World War Z,Saber Interactive Inc,Action,$35.3m ($22.7m - $47.9m),$35.3m,7943.0,83.43,21159,1000000 - 2000000
1485590,ENDLESS Dungeon - Definitive Edition,AMPLITUDE Studios,Action,$4.5m ($3.2m - $5.8m),$86.3m,7935.0,64.42,2805,200000 - 500000
1798010,Mega Man Battle Network Legacy Collection Vol. 1,"CAPCOM Co., Ltd.",Action,$4.6m ($2.6m - $6.6m),$1.8b,7747.0,87.66,1167,100000 - 200000
487120,Citadel: Forged with Fire,Blue Isle Publishing,Action,$3.9m ($2.7m - $5.2m),$7.5m,7720.0,67.9,4982,200000 - 500000
669330,Mechabellum,Dreamhaven,Action,$7.8m ($5.8m - $9.9m),$15m,7740.0,84.4,16255,1000000 - 2000000
1256670,Library Of Ruina,ProjectMoon,Action,$13m ($9.5m - $16.4m),$108.8m,7211.0,94.48,34482,1000000 - 2000000
385400,Weapons Genius,Conglomerate 5,Action,$391.6k ($78.3k - $705k),$2.5m,5985.0,53.0,466,200000 - 500000
640380,UBERMOSH Vol.5,Walter Machado,Action,$15.4k ($11.5k - $19.3k),$297.2k,5932.0,93.36,889,200000 - 500000
412880,Drift Streets Japan,SA Industry,Action,$1.9m ($1m - $2.8m),$4m,5559.0,64.56,2768,1000000 - 2000000
285160,LEGO The Hobbit,Warner Bros. Interactive Entertainment,Action,$2.8m ($1.3m - $4.2m),$446.3m,5549.0,79.19,4704,1000000 - 2000000
2000890,MechWarrior 5: Clans,Piranha Games Inc.,Action,$3.7m ($2.3m - $5.1m),$24.6m,5548.0,74.6,4859,100000 - 200000
2294660,The Quinfall,Vawraek Technology Inc.,Action,$1.3m ($896.8k - $1.8m),$1.3m,5184.0,47.79,6980,200000 - 500000
617830,SUPERHOT VR,SUPERHOT Team,Action,$7.8m ($4.7m - $10.9m),$43.2m,4734.0,82.63,7682,1000000 - 2000000
450860,Andarilho,SC Jogos,Action,$22.6k ($13.5k - $31.6k),$762.8k,3904.0,66.35,1165,100000 - 200000
1150530,Wizard with a Gun,Devolver Digital,Action,$5.2m ($3.2m - $7.2m),$501.4m,3844.0,80.63,2716,100000 - 200000
911400,Assassin's Creed III Remastered,Ubisoft Entertainment,Action,$9.5m ($6.2m - $12.8m),$55.9m,3473.0,62.81,12542,1000000 - 2000000
239250,Castlevania: Lords of Shadow 2,KONAMI,Action,$5.8m ($4m - $7.5m),$639.8m,3784.0,84.5,4497,500000 - 1000000
268130,Heat Signature,Suspicious Developments,Action,$3.3m ($2.4m - $4.2m),$12.4m,3825.0,94.58,6712,500000 - 1000000
404410,Endless Sky,Michael Zahniser,Action,0,$0 ,2950.0,93.06,72,1000000 - 2000000
312990,The Expendabros,Devolver Digital,Action,0,$501.4m,2927.0,94.8,173,2000000 - 5000000
1016950,Blood Bowl 3,Nacon,Action,$2.2m ($1.5m - $3m),$157.6m,3076.0,50.82,3644,200000 - 500000
339340,Resident Evil 0,"CAPCOM Co., Ltd.",Action,$4.6m ($3m - $6.2m),$1.8b,2924.0,82.24,10815,1000000 - 2000000
3328720,Flash Doll,Game Star,Action,$531.4k ($329.9k - $732.8k),$816.4k,2876.0,79.8,812,50000 - 100000
462780,Darksiders Warmastered Edition,THQ Nordic,Action,$2.3m ($1.4m - $3.2m),$387.4m,2890.0,88.02,12374,1000000 - 2000000
513610,Madrobot X,Sometimes You,Action,$1.2k ($617 - $1.8k),$605.9k,2604.0,86.49,37,100000 - 200000
1740720,Have a Nice Death,Arc Games,Action,$9.2m ($6.5m - $11.9m),$330.6m,2481.0,86.2,9322,200000 - 500000
420560,Firefighting Simulator - The Squad,astragon Entertainment,Action,$6.2m ($4.1m - $8.2m),$103.7m,2582.0,82.1,4189,500000 - 1000000
1815570,Aces & Adventures,Yogscast Games,Action,$994.7k ($592.7k - $1.3m),$37.9m,2431.0,90.19,2090,200000 - 500000
533780,Zombie Defense,Home Net Games,Action,$2k ($1.2k - $2.8k),$440.6k,2356.0,78.43,51,500000 - 1000000
345180,Victor Vran ARPG,Haemimont Games,Action,$3.1m ($1.9m - $4.2m),$3.2m,2410.0,84.99,3672,500000 - 1000000
58610,Wargame: European Escalation,Eugen Systems,Action,$906.1k ($482.8k - $1.3m),$60.1m,2197.0,76.33,2577,500000 - 1000000
2695490,Age of Water,Gaijin Network Ltd,Action,$1.6m ($928.6k - $2.2m),$516.7m,2188.0,73.04,2600,200000 - 500000
1699480,KLETKA,Callback,Action,$2.7m ($1.6m - $3.8m),$2.6m,1701.0,91.77,3914,100000 - 200000
272470,The Incredible Adventures of Van Helsing II,NeocoreGames,Action,$1.5m ($879.9k - $2.2m),$38.8m,1688.0,70.34,1925,500000 - 1000000
326120,Horizon Shift,Funbox Media Ltd,Action,$22.4k ($4.4k - $40.3k),$509.5k,1577.0,88.46,26,100000 - 200000
2510710,Kunitsu-Gami: Path of the Goddess,"CAPCOM Co., Ltd.",Action,$2m ($1.5m - $2.5m),$1.8b,1567.0,92.21,1644,100000 - 200000
314710,Mighty No. 9,Deep Silver,Action,$1.6m ($1m - $2.1m),$567.3m,1556.0,57.36,1888,200000 - 500000
418030,Subsistence,ColdGames,Action,$5.1m ($3.5m - $6.8m),$5.1m,1527.0,72.37,12097,500000 - 1000000
312780,Way of the Samurai 4,"Spike Chunsoft Co., Ltd.",Action,$1.5m ($1.1m - $1.9m),$94.5m,1534.0,77.66,1835,200000 - 500000
366090,Colony Survival,Pipliz,Action,$6.5m ($5m - $8.1m),$6.5m,1488.0,92.09,7872,200000 - 500000
1934570,South of Midnight,Xbox Game Studios,Action,$2.6m ($1.7m - $3.4m),$1.8b,1438.0,94.34,3464,50000 - 100000
375850,Island Defense,Stereo7 Games,Action,$23.8k ($4.7k - $42.9k),$32.4k,1373.0,54.55,22,100000 - 200000
1634860,Minishoot' Adventures,SoulGame Studio,Action,$1.5m ($1.1m - $2m),$1.5m,1340.0,97.85,6373,200000 - 500000
485440,Call Of The Mighty Warriors,SC Jogos,Action,$5k ($2.6k - $7.3k),$762.8k,1274.0,58.56,263,100000 - 200000
598700,The Vagrant,SakuraGame,Action,$760.6k ($501.3k - $1m),$3.9m,1249.0,89.74,8051,200000 - 500000
1627570,The Plucky Squire,Devolver Digital,Action,$2.7m ($1.7m - $3.7m),$501.4m,1231.0,84.6,2298,100000 - 200000
35700,Trine Enchanted Edition,Frozenbyte,Action,$3.1m ($1.6m - $4.6m),$30.2m,1186.0,95.67,12527,2000000 - 5000000
367270,Angels Fall First,Strangely Interactive Ltd,Action,$1.6m ($1m - $2.1m),$1.6m,1100.0,81.9,2580,100000 - 200000
458710,Kingdom Rush Frontiers - Tower Defense,Ironhide Game Studio,Action,$3m ($2m - $3.9m),$28.7m,1002.0,96.79,9159,500000 - 1000000
598330,SimAirport,LVGameDev LLC,Action,$3.2m ($2.2m - $4.3m),$4m,1062.0,79.42,3853,200000 - 500000
965200,Walking Zombie 2,Alda Games,Action,$128.7k ($100.4k - $157.1k),$975.3k,962.0,92.59,27,500000 - 1000000
1975580,Wild Woods,Daedalic Entertainment,Action,$1.2m ($752.8k - $1.6m),$159.9m,920.0,81.26,1163,50000 - 100000
384490,NECROPOLIS: BRUTAL EDITION,Paradox Interactive,Action,$4.1m ($2.7m - $5.4m),$1.1b,872.0,63.72,3693,200000 - 500000
1375900,Swarm Grinder,Null State Protocol,Action,$446.2k ($305k - $587.5k),$460.3k,839.0,78.46,1091,200000 - 500000
1920480,River City Girls 2,WayForward,Action,$1.6m ($1.2m - $2m),$11.9m,826.0,85.91,1427,50000 - 100000
3084280,Threefold Recital,indienova,Action,$578.9k ($357.2k - $800.6k),$41.5m,664.0,98.65,4230,50000 - 100000
2616140,Sunset Motel,RockGame S.A.,Action,$555k ($360.2k - $749.8k),$5m,801.0,79.47,570,20000 - 50000
1832220,Blind Fate: Edo no Yami — Dojo,101XP,Action,0,$3.9m,653.0,0.0,0,100000 - 200000
1051310,Paper Dolls: Original / 纸人,"Beijing Litchi Culture Media Co., Ltd.",Action,$2.9m ($1.8m - $4m),$4.5m,635.0,85.86,4214,200000 - 500000
1227780,Taur,Echo Entertainment,Action,$1.3m ($855k - $1.7m),$1.3m,629.0,79.69,1935,100000 - 200000
2658450,LOLLIPOP CHAINSAW RePOP,"DRAGAMI GAMES, LTD.",Action,$2.3m ($1.7m - $2.9m),$2.7m,625.0,87.94,2214,50000 - 100000
1961600,Darfall,Paradox Arc,Action,$464.2k ($339.5k - $589k),$14.6m,611.0,77.63,438,0 - 20000
298030,Total Annihilation,Wargaming.net,Action,$333.2k ($213.5k - $452.8k),$343.6k,608.0,96.51,3412,200000 - 500000
396480,Battlevoid: Harbinger,Bugbyte Ltd.,Action,$214.1k ($145.5k - $282.7k),$9.5m,563.0,80.13,921,200000 - 500000
246580,The Typing of The Dead: Overkill,SEGA,Action,$3.2m ($2m - $4.5m),$1.6b,559.0,87.67,2579,200000 - 500000
2021210,DRAGON QUEST TREASURES,Square Enix,Action,$555.8k ($350.5k - $761k),$1b,562.0,76.72,232,0 - 20000
410710,System Shock: Enhanced Edition,Nightdive Studios,Action,$137.4k ($76k - $198.9k),$20.5m,548.0,91.35,1710,500000 - 1000000
1055430,Swords and Sandals Classic Collection,eGames.com,Action,$1.6m ($1m - $2.2m),$2.4m,536.0,92.7,2673,200000 - 500000
2085370,Classified: France '44,Team17,Action,$829.5k ($509.2k - $1.1m),$491.6m,537.0,72.82,655,50000 - 100000
