appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players
485440,Call Of The Mighty Warriors,SC Jogos,Action,$5k ($2.6k - $7.3k),$762.8k,1274.0
598700,The Vagrant,SakuraGame,Action,$760.6k ($501.3k - $1m),$3.9m,1249.0
1627570,The Plucky Squire,Devolver Digital,Action,$2.7m ($1.7m - $3.7m),$501.4m,1231.0
35700,Trine Enchanted Edition,Frozenbyte,Action,$3.1m ($1.6m - $4.6m),$30.2m,1186.0
367270,Angels Fall First,Strangely Interactive Ltd,Action,$1.6m ($1m - $2.1m),$1.6m,1100.0
458710,Kingdom Rush Frontiers - Tower Defense,Ironhide Game Studio,Action,$3m ($2m - $3.9m),$28.7m,1002.0
598330,SimAirport,LVGameDev LLC,Action,$3.2m ($2.2m - $4.3m),$4m,1062.0
965200,Walking Zombie 2,Alda Games,Action,$128.7k ($100.4k - $157.1k),$975.3k,962.0
1975580,Wild Woods,Daedalic Entertainment,Action,$1.2m ($752.8k - $1.6m),$159.9m,920.0
384490,NECROPOLIS: BRUTAL EDITION,Paradox Interactive,Action,$4.1m ($2.7m - $5.4m),$1.1b,872.0
1375900,Swarm Grinder,Null State Protocol,Action,$446.2k ($305k - $587.5k),$460.3k,839.0
1920480,River City Girls 2,WayForward,Action,$1.6m ($1.2m - $2m),$11.9m,826.0
3084280,Threefold Recital,indienova,Action,$578.9k ($357.2k - $800.6k),$41.5m,664.0
2616140,Sunset Motel,RockGame S.A.,Action,$555k ($360.2k - $749.8k),$5m,801.0
1832220,Blind Fate: Edo no Yami — Dojo,101XP,Action,0,$3.9m,653.0
1051310,Paper Dolls: Original / 纸人,"Beijing Litchi Culture Media Co., Ltd.",Action,$2.9m ($1.8m - $4m),$4.5m,635.0
1227780,Taur,Echo Entertainment,Action,$1.3m ($855k - $1.7m),$1.3m,629.0
2658450,LOLLIPOP CHAINSAW RePOP,"DRAGAMI GAMES, LTD.",Action,$2.3m ($1.7m - $2.9m),$2.7m,625.0
1961600,Darfall,Paradox Arc,Action,$464.2k ($339.5k - $589k),$14.6m,611.0
298030,Total Annihilation,Wargaming.net,Action,$333.2k ($213.5k - $452.8k),$343.6k,608.0
396480,Battlevoid: Harbinger,Bugbyte Ltd.,Action,$214.1k ($145.5k - $282.7k),$9.5m,563.0
246580,The Typing of The Dead: Overkill,SEGA,Action,$3.2m ($2m - $4.5m),$1.6b,559.0
2021210,DRAGON QUEST TREASURES,Square Enix,Action,$555.8k ($350.5k - $761k),$1b,562.0
410710,System Shock: Enhanced Edition,Nightdive Studios,Action,$137.4k ($76k - $198.9k),$20.5m,548.0
1055430,Swords and Sandals Classic Collection,eGames.com,Action,$1.6m ($1m - $2.2m),$2.4m,536.0
2085370,Classified: France '44,Team17,Action,$829.5k ($509.2k - $1.1m),$491.6m,537.0
2602030,Entropy Survivors,First Break Labs,Action,$288.8k ($179.5k - $398.1k),$631.1k,500.0
1952250,SAMURAI MAIDEN,D3PUBLISHER,Action,$1.1m ($648.2k - $1.6m),$55.3m,526.0
1573100,Subterrain: Mines of Titan,indie.io,Action,$305k ($203.1k - $407k),$36.8m,493.0
581630,Sword With Sauce,Diatomic Studios,Action,$1m ($606k - $1.5m),$1m,454.0
503620,Fictorum,Scraping Bottom Games,Action,$886.1k ($547.5k - $1.2m),$886.1k,452.0
2236070,Peaks of Yore,TraipseWare,Action,$1m ($748.5k - $1.3m),$1m,467.0
640890,Will Glow the Wisp,PartTimeIndie,Action,$3.4k ($1.7k - $5.1k),$8.8k,405.0
311770,LEGO Pirates of the Caribbean: The Video Game,Disney,Action,$3.2m ($1.9m - $4.5m),$129.5m,450.0
1623730,Palworld,Pocketpair,Adventure,$414.2m ($260.2m - $568.3m),$438m,2101535.0
346110,ARK: Survival Evolved,Studio Wildcard,Adventure,$456.5m ($309.6m - $603.4m),$538.1m,247292.0
1468810,鬼谷八荒 Tale of Immortal,鬼谷工作室,Adventure,$75m ($50m - $100m),$75m,183985.0
1222670,The Sims 4,Electronic Arts,Adventure,$159.5m ($85.2m - $233.9m),$4.5b,96185.0
2215430,Ghost of Tsushima DIRECTOR'S CUT,PlayStation Publishing LLC,Adventure,$103.4m ($74.1m - $132.8m),$1.3b,77154.0
1364780,Street Fighter 6,"CAPCOM Co., Ltd.",Adventure,$126.8m ($84.5m - $169.1m),$1.8b,70540.0
834910,ATLAS,Grapeshot Games,Adventure,$24m ($16.3m - $31.7m),$24m,58788.0
1113560,NieR Replicant ver.1.22474487139...,Square Enix,Adventure,$25.8m ($17.6m - $33.9m),$1b,28509.0
2072450,Like a Dragon: Infinite Wealth,SEGA,Adventure,$26.4m ($19.6m - $33.1m),$1.6b,46029.0
346900,AdVenture Capitalist,Hyper Hippo Games,Adventure,$9.9m ($6.8m - $13m),$10m,22927.0
1084600,My Time at Sandrock,Pathea Games,Adventure,$24m ($17.2m - $30.7m),$29.2m,21620.0
