appid,name,publisher_main,Selected_Genre,game_revenue,publisher_revenue,peak_players,adjusted_rating,owners_midpoint,total_score
1005300,The Jackbox Party Pack 6,"Jackbox Games, Inc.",Card & Board,$8.5m ($4.7m - $12.3m),$65.9m,6387.0,95.19,350000.0,0.6046367800058362
1874490,Potionomics,XSEED Games,Card & Board,$5.2m ($3.8m - $6.5m),$125.7m,4570.0,90.75,750000.0,0.6025213031671388
39150,FINAL FANTASY VIII,Square Enix,Card & Board,$3.2m ($2.2m - $4.2m),$1b,4457.0,87.86,750000.0,0.6006720809211197
1811990,Wildfrost,Chucklefish,Card & Board,$4.3m ($3m - $5.6m),$84m,5064.0,82.75,750000.0,0.5931933102761743
1533420,Neon White,Annapurna Interactive,Card & Board,$9.3m ($6.5m - $12.1m),$188.4m,3238.0,98.09,350000.0,0.5923083639817267
610180,The Jackbox Party Pack 4,"Jackbox Games, Inc.",Card & Board,$6.7m ($4.1m - $9.4m),$65.9m,3829.0,94.87,350000.0,0.5850068059142235
2622000,Astral Party ,Neverland Entertainment,Card & Board,$7.1m ($4.8m - $9.4m),$11.2m,34336.0,0.0,1500000.0,0.5837557331497046
1785150,Friends vs Friends,Raw Fury,Card & Board,$4.2m ($2.7m - $5.6m),$99.5m,5531.0,84.06,350000.0,0.5805384118467356
1244800,Terraformers,Goblinz Publishing,Card & Board,$2.8m ($1.5m - $4.1m),$29.1m,1837.0,88.46,1500000.0,0.5722686100724687
276810,Mordheim: City of the Damned,Nacon,Card & Board,$6.2m ($4.2m - $8.2m),$157.6m,2715.0,72.34,750000.0,0.5714685222797815
620980,Beat Saber,Beat Games,Casual,$71.6m ($49m - $94.3m),$71.6m,42095.0,95.66,3500000.0,0.7464806771068837
1621690,Core Keeper,Fireshine Games,Casual,$42m ($26.6m - $57.4m),$67m,46355.0,92.81,1500000.0,0.7195778778784514
2185060,Two Point Museum,SEGA,Casual,$13.8m ($8.5m - $19.2m),$1.6b,17237.0,95.04,350000.0,0.6559501184992441
2296990,We Were Here Expeditions: The FriendShip,Total Mayhem Games,Casual,$3.5m ($1.6m - $5.4m),$34.2m,22179.0,82.62,1500000.0,0.6475136448633768
1703340,The Stanley Parable: Ultra Deluxe,Crows Crows Crows,Casual,$18.3m ($13.5m - $23.2m),$19.3m,6477.0,94.24,1500000.0,0.6426292479464548
683320,GRIS,Devolver Digital,Casual,$11.9m ($8.5m - $15.4m),$501.4m,2467.0,96.19,3500000.0,0.6413711400139441
673950,Farm Together,Milkstone Studios,Casual,$13.9m ($9.7m - $18.2m),$22.7m,6843.0,94.07,1500000.0,0.6408577141224987
1046930,Dota Underlords,Valve,Casual,$72.4k ($56.4k - $88.3k),$13.8b,202254.0,0.0,7500000.0,0.6385734554900505
621060,PC Building Simulator,The Irregular Corporation,Casual,$34.9m ($19m - $50.8m),$35.4m,3883.0,93.71,1500000.0,0.638234760775163
