appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players,is_non_game
80839,Lume Trailer,"Adventure, Casual, Indie, Puzzle",,,,State of Play Games,State of Play Games,0.0,steamspy,,True
351680,Lumino City - Soundtrack,"Adventure, Indie",,,,State of Play,State of Play,0.0,steamspy,,True
403890,Luna Sky - Soundtrack,"Action, Adventure",,,,Vovoid Media Technologies AB,KISS ltd,0.0,steamspy,,True
81491,Lunar Flight Trailer,"Indie, Simulation",,,,,,0.0,steamspy,,True
1094030,Lurk in the Dark : Prologue,"Action, Adventure, Horror, Indie",,,,IDEA FRUITION,IDEA FRUITION,0.0,steamspy,,True
729410,Lux Obscura Original Soundtrack,"Casual, Indie",,,,Ktulhu Solutions,,0.0,steamspy,,True
15922,Luxor 2 Demo,Casual,,,,MumboJumbo,MumboJumbo,0.0,steamspy,,True
15932,Luxor 3 Demo,"Casual, Puzzle",,,,MumboJumbo,MumboJumbo,0.0,steamspy,,True
15912,Luxor Amun Rising Demo,Casual,,,,MumboJumbo,MumboJumbo,0.0,steamspy,,True
15972,Luxor Demo,Casual,,,,MumboJumbo,MumboJumbo,0.0,steamspy,,True
81468,Luxor Evolved Gameplay Trailer,"Action, Casual, Indie, Puzzle",,,,,,0.0,steamspy,,True
16042,Luxor: Quest for the Afterlife Demo,"Casual, Puzzle",,,,MumboJumbo,MumboJumbo,0.0,steamspy,,True
1027630,Lyantei Demo,"Adventure, Casual, Indie, Simulation, Visual Novel",,,,Sweet Slush Games,Sweet Slush Games,0.0,steamspy,,True
5666,M.U.D. TV Trailer,"Simulation, Strategy",,,,Realmforge Studios,Kalypso Media Digital,0.0,steamspy,,True
677360,M1 Soundtrack,"Action, Adventure, Casual, Indie",,,,Dracula's Cave,Dracula's Cave,0.0,steamspy,,True
1484050,MADE : Interactive Movie – 01. Run away!,"Adventure, Horror, RPG, Visual Novel",,,,JOONSPICTURES,JOONSPICTURES,0.0,steamspy,,True
1510370,MADE VR : Interactive Movie - 01. Run away!,"Adventure, Horror, Puzzle, Survival, Visual Novel",,,,JOONSPICTURES,JOONSPICTURES,0.0,steamspy,,True
557220,MAGICAL×SPIRAL Demo,"Action, Adventure, Casual, Indie, Platformer",,,,Broken Desk,Sekai Project,0.0,steamspy,,True
515270,"MANDAGON - Digital Art Book, OST plus Extras","Adventure, Indie",,,,Blind Sky Studios,Blind Sky Studios,0.0,steamspy,,True
332460,MASSIVE CHALICE Soundtrack,Strategy,,,,Double Fine Productions,,0.0,steamspy,,True
777110,MEANDERS - Original Soundtrack,"Action, Adventure, Casual, Indie",,,,"ATOMIC BREATH, Chadsky, FraZack","ATOMIC BREATH, FraZack",0.0,steamspy,,True
436030,"METAL GEAR ONLINE EXPANSION PACK ""CLOAKED IN SILENCE""","Action, Adventure",,,,KONAMI,KONAMI,0.0,steamspy,,True
797470,METAL GEAR SURVIVE BETA,"Action, Adventure, Strategy",,,,Konami Digital Entertainment,Konami Digital Entertainment,0.0,steamspy,,True
856780,MIMIC Demo,"Action, Adventure, Casual, Simulation, Sports, Strategy",,,,Scribe,Alpha Graphic Designs,0.0,steamspy,,True
688410,MINDNIGHT Hack Me Hard DLC - Soundtrack (Bonus Track + Jukebox Skin),"Indie, Strategy",,,,No Moon,No Moon,0.0,steamspy,,True
