Selected_Genre,appid,name,genres,release_date,is_free,price,developers,publishers,concurrent_players,source,peak_players,is_non_game
4X,651660,Halcyon 6: Starbase Commander (LIGHTSPEED EDITION),"4X, RPG, Simulation, Strategy",,,,"Massive Damage, Inc.","Massive Damage, Inc.",3.0,steamspy,409.0,False
4X,3990,Civilization IV: Warlords,"4X, Strategy",,,,Firaxis Games,2K,150.0,steamspy,335.0,False
4X,346810,Marble Age,"4X, Casual, City Builder, Indie, Simulation, Strategy, Survival",,,,Clarus Victoria,Clarus Victoria,1.0,steamspy,319.0,False
4X,327400,Sid Meier's Colonization (Classic),"4X, Adventure, Simulation, Strategy",,,,"MicroProse Software, Inc","Atari, Nightdive Studios",100.0,steamspy,316.0,False
4X,573410,AI War 2,"4X, Simulation, Strategy, Tower Defense",,,,Arcen Games,Arcen Games,14.0,steamspy,310.0,False
4X,2810,X3: Reunion,"4X, Action, Simulation, Strategy",,,,Egosoft,Egosoft,3.0,steamspy,309.0,False
4X,461620,Predynastic Egypt,"4X, City Builder, Indie, Simulation, Strategy, Survival",,,,Clarus Victoria,Clarus Victoria,5.0,steamspy,295.0,False
4X,287580,Pandora: First Contact,"4X, Simulation, Strategy",,,,Proxy Studios,Slitherine Ltd.,3.0,steamspy,295.0,False
4X,410980,Master of Orion 2,"4X, Strategy",,,,SimTex,Wargaming Labs,159.0,steamspy,283.0,False
4X,1145340,Rogue State Revolution,"4X, Simulation, Strategy",,,,"LRDGames, Inc.",Modern Wolf,7.0,steamspy,281.0,False
4X,1823600,Power & Revolution 2022 Edition,"4X, Simulation, Strategy",,,,Eversim,Eversim,7.0,steamspy,272.0,False
4X,1245250,Thrive: Heavy Lies The Crown,"4X, Casual, City Builder, RPG, Strategy",,,,Zugalu Entertainment,PlaySide,3.0,steamspy,271.0,False
4X,1983990,Nexus 5X,"4X, Card & Board, Simulation, Strategy",,,,Whatboy Games,Paradox Arc,6.0,steamspy,257.0,False
4X,1189100,Rise Of The White Sun - 白日升,"4X, RPG, Simulation, Strategy",,,,Maestro Cinetik,"Gaming at Work, Cinetique",6.0,steamspy,257.0,False
4X,1521070,The Pegasus Expedition,"4X, Simulation, Strategy",,,,Kalla Gameworks,Fulqrum Publishing,2.0,steamspy,250.0,False
4X,1638300,Solargene,"4X, City Builder, Simulation, Strategy",,,,Alexander Semenov,Alexander Semenov,11.0,steamspy,244.0,False
4X,477730,Eador. Imperium,"4X, Indie, RPG, Strategy",,,,Snowbird Games,Snowbird Games,3.0,steamspy,231.0,False
4X,403950,Conquest of Elysium 4,"4X, Indie, Strategy",,,,Illwinter Game Design,Illwinter Game Design,2.0,steamspy,231.0,False
4X,975270,军团战棋Legion War,"4X, Adventure, Indie, JRPG, RPG, Strategy",,,,Bear & Cat Studio,Bear & Cat Studio,7.0,steamspy,224.0,False
4X,2147380,Heroes of Science and Fiction,"4X, Indie, RPG, Strategy",,,,Oxymoron Games,Oxymoron Games,9.0,steamspy,210.0,False
4X,984680,Interstellar Space: Genesis,"4X, Indie, Strategy",,,,Praxis Games,Praxis Games,15.0,steamspy,196.0,False
4X,235660,Eador: Genesis,"4X, Indie, RPG, Strategy",,,,"Alexey Bokulev, Snowbird Games",Snowbird Games,5.0,steamspy,193.0,False
4X,1812910,Great Houses of Calderia,"4X, Indie, RPG, Simulation, Strategy",,,,Resistance Games,Firesquid,1.0,steamspy,186.0,False
4X,474020,Ragnorium,"4X, City Builder, RPG, Simulation, Strategy, Survival",,,,Vitali Kirpu,Devolver Digital,1.0,steamspy,178.0,False
4X,1700300,World Warfare & Economics,"4X, Simulation, Strategy",,,,Okron Studio,Okron Studio,2.0,steamspy,171.0,False
4X,559310,Illyriad - Grand Strategy MMO,"4X, City Builder, Indie, Massively Multiplayer, RPG, Simulation, Strategy",,,,Illyriad Games,Illyriad Games,9.0,steamspy,161.0,False
4X,490370,Imperium Galactica II,"4X, Strategy",,,,"Digital Reality, Gyroscope Games",THQ Nordic,14.0,steamspy,155.0,False
4X,34440,Sid Meier's Civilization IV,"4X, Simulation, Strategy",,,,Firaxis Games,2K,3.0,steamspy,155.0,False
4X,1183470,Imperiums: Greek Wars,"4X, Simulation, Strategy",,,,Kube Games,Kube Games,2.0,steamspy,152.0,False
4X,1146370,Master of Magic Classic,"4X, Strategy",,,,SimTex,Slitherine Ltd.,39.0,steamspy,146.0,False
4X,2275940,Rogue Hex,"4X, Card & Board, City Builder, Roguelike, Simulation, Strategy",,,,Topstitch Games,Topstitch Games,5.0,steamspy,144.0,False
4X,42890,Sword of the Stars: Complete Collection,"4X, Strategy",,,,Kerberos Productions Inc.,Paradox Interactive,23.0,steamspy,138.0,False
4X,338810,Demise of Nations,"4X, Casual, Horror, Indie, Strategy",,,,Noble Master LLC,Noble Master LLC,4.0,steamspy,137.0,False
4X,1690,Space Empires V,"4X, Strategy",,,,Malfador Machinations,Strategy First,13.0,steamspy,137.0,False
4X,61520,Age of Wonders Shadow Magic,"4X, RPG, Strategy",,,,Triumph Studios,Paradox Interactive,16.0,steamspy,121.0,False
4X,1305310,Drox Operative 2,"4X, Action, Indie, RPG, Strategy",,,,Soldak Entertainment,Soldak Entertainment,3.0,steamspy,112.0,False
4X,279140,Making History: The Great War,"4X, Indie, Simulation, Strategy",,,,"Muzzy Lane Software, Factus Games",Factus Games,2.0,steamspy,109.0,False
4X,1537910,Chaos Galaxy 2,"4X, JRPG, RPG, Simulation, Strategy",,,,Han Zhiyu,"ChaosGalaxyStudio, 2P Games",8.0,steamspy,104.0,False
4X,2799350,Emperor of the Fading Suns Enhanced,"4X, Strategy",,,,"Holistic Design, Inc.","Holistic Design, Inc., V Publishing",7.0,steamspy,103.0,False
Action,1085660,Destiny 2,"Action, Adventure, Massively Multiplayer, Shooter",,,,Bungie,Bungie,12827.0,steamspy,316651.0,False
Action,304390,FOR HONOR,"Action, Fighting, RPG, Strategy",,,,"Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte",Ubisoft,2849.0,steamspy,216499.0,False
Action,1174180,Red Dead Redemption 2,"Action, Adventure, Shooter",,,,Rockstar Games,Rockstar Games,27939.0,steamspy,99759.0,False
Action,601150,Devil May Cry 5,"Action, Adventure",,,,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",820.0,steamspy,88735.0,False
Action,1254120,Bless Unleashed,"Action, Adventure, Massively Multiplayer, RPG",,,,VALOFE,VALOFE,218.0,steamspy,76273.0,False
Action,2384580,DYNASTY WARRIORS: ORIGINS,"Action, RPG, Strategy",,,,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",783.0,steamspy,69318.0,False
Action,1172620,Sea of Thieves: 2025 Edition,"Action, Adventure, Massively Multiplayer",,,,Rare Ltd,Xbox Game Studios,2805.0,steamspy,66632.0,False
Action,2993780,FANTASY LIFE i: The Girl Who Steals Time,"Action, Adventure, Casual, City Builder, JRPG, RPG",,,,LEVEL5 Inc.,LEVEL5 Inc.,373.0,steamspy,65347.0,False
Action,848450,Subnautica: Below Zero,"Action, Adventure, Horror, Indie, Survival",,,,Unknown Worlds Entertainment,Unknown Worlds Entertainment,574.0,steamspy,42057.0,False
Action,1942280,Brotato,"Action, Casual, RPG, Roguelike, Shooter, Survival",,,,Blobfish,Blobfish,5176.0,steamspy,38761.0,False
Action,678960,CODE VEIN,"Action, Adventure, JRPG, RPG",,,,Bandai Namco Studios,Bandai Namco Entertainment,435.0,steamspy,33804.0,False
Action,1693980,Dead Space,"Action, Adventure, Horror, Shooter, Survival",,,,Motive,Electronic Arts,401.0,steamspy,28842.0,False
Action,221380,Age of Empires II (Retired),"Action, Adventure, City Builder, Strategy",,,,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Xbox Game Studios,2167.0,steamspy,27618.0,False
Action,48000,LIMBO,"Action, Adventure, Casual, Horror, Indie, Platformer, Puzzle",,,,Playdead,Playdead,54.0,steamspy,27454.0,False
Action,240760,Wasteland 2: Director's Cut,"Action, Adventure, Indie, RPG, Strategy, Survival",,,,inXile Entertainment,inXile Entertainment,4.0,steamspy,18576.0,False
Action,555160,Pavlov,"Action, Indie, Shooter, Simulation",,,,Vankrupt Games,Vankrupt Games,74.0,steamspy,17629.0,False
Action,2849080,Kingdom Rush 5: Alliance TD,"Action, Adventure, Indie, Strategy, Tower Defense",,,,Ironhide Game Studio,Ironhide Game Studio,292.0,steamspy,15843.0,False
Action,102500,Kingdoms of Amalur: Reckoning,"Action, Adventure, RPG",,,,"Big Huge Games, 38 Studios","38 Studios, Electronic Arts",19.0,steamspy,12787.0,False
Action,274940,Depth,"Action, Adventure, Horror, Shooter, Survival",,,,Digital Confectioners,Digital Confectioners,21.0,steamspy,10775.0,False
Action,1645820,SurrounDead,"Action, Adventure, Indie, RPG, Shooter, Survival",,,,Zurvivor,PlaySurrounDead,1797.0,steamspy,10713.0,False
Action,292120,FINAL FANTASY XIII,"Action, Adventure, JRPG, RPG, Strategy",,,,Square Enix,Square Enix,248.0,steamspy,8320.0,False
Action,1498570,THE KING OF FIGHTERS XV,Action,"12 Dec, 2024",False,"₩ 31,400",SNK CORPORATION,SNK CORPORATION,205.0,appdetails,8205.0,False
Action,826630,Iron Harvest,"Action, Casual, Strategy",,,,KING Art,Prime Matter,61.0,steamspy,8145.0,False
Action,265300,Lords Of The Fallen 2014,"Action, Adventure, RPG",,,,"CI Games, Deck 13",CI Games,32.0,steamspy,8014.0,False
Action,699130,World War Z,"Action, Horror, Shooter, Survival",,,,Saber Interactive Inc,Saber Interactive Inc,871.0,steamspy,7943.0,False
Action,1485590,ENDLESS Dungeon - Definitive Edition,"Action, RPG, Roguelike, Shooter, Strategy, Tower Defense",,,,AMPLITUDE Studios,AMPLITUDE Studios,8.0,steamspy,7935.0,False
Action,1798010,Mega Man Battle Network Legacy Collection Vol. 1,"Action, JRPG, RPG",,,,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",107.0,steamspy,7747.0,False
Action,669330,Mechabellum,"Action, Simulation, Strategy",,,,Game River,Dreamhaven,953.0,steamspy,7740.0,False
